FCO names,Normalized 2012 Investment
Afghanistan,-0.258087885
Albania,0
Algeria,-0.234212831
Angola,-0.257307973
Antigua and Barbuda,-0.250971188
Argentina,-0.058430438
Armenia,0
Australia,1.193311722
Austria,-0.076534143
Azerbaijan,0
The Bahamas,-0.24989881
Bahrain,-0.117732989
Bangladesh,-0.26706662
Barbados,-0.254090836
Belarus,0
Belgium,0.8424458
Belize,-0.259306497
Benin,-0.255777396
Bhutan,-0.259257743
Bolivia,-0.216765227
Bosnia and Herzegovina,-0.134618082
Botswana,2.088082095
Brazil,-0.258419347
Brunei,-0.258916541
Bulgaria,0
Burkina,-0.257805166
Burundi,-0.259550219
Cambodia,0
Cameroon,-0.198717188
Canada,4.912214221
Cape Verde,-0.20412773
Central African Republic,-0.237069259
Chad,-0.26051536
Chile,-0.000116425
China,-0.259179761
Hong Kong SAR,0.372535124
Taiwan,-0.258945788
Colombia,-0.136421628
Comoros,-0.135446738
Congo,-0.259257743
Costa Rica,-0.243135007
Ivory Coast,-0.216884144
Croatia,-0.186384734
Cyprus,-0.190498769
Czech Republic,-0.259257733
Congo (Democratic Republic),-0.119019844
Denmark,-0.040986733
Djibouti,-0.259092021
Dominica,-0.259257743
Dominican Republic,-0.242587135
Ecuador,-0.197449734
Egypt,0.926491057
El Salvador,-0.268967656
Equatorial Guinea,-0.259257743
Eritrea,0
Estonia,0
Ethiopia,-0.259228496
Fiji,-0.249343122
Finland,-0.232728979
France,2.393730224
Gabon,-0.259111519
The Gambia,-0.205590065
Georgia,-0.247871039
Germany,1.432172568
Ghana,-0.261987444
,-0.251478131
Greece,0.338349743
Grenada,-0.259257743
Guatemala,-0.145195637
Guinea,-0.259764695
Guinea-Bissau,-0.259033528
Guyana,-0.258682567
Haiti,-0.247559074
Honduras,-0.231765858
Hungary,0
Iceland,-0.256235594
India,-0.211907351
Indonesia,-0.03893264
Iran,-0.099034601
Iraq,-0.25768818
Ireland,0.068968172
Israel,-0.248533964
Italy,0.145760247
Jamaica,-0.284994845
Japan,-0.026259072
Jordan,-0.233549906
Kazakhstan,0
Kenya,-0.177357254
Kiribati,-0.259257743
South Korea,-0.091576693
Kuwait,-0.258009893
Kyrgyzstan,0
Laos,0
Latvia,0
Lebanon,-0.258975034
Lesotho,-0.259062774
Liberia,-0.219082541
Libya,-0.832239529
Lithuania,0
Luxembourg,0
Madagascar,-0.265672528
Malawi,-0.260447118
Malaysia,0.299812346
Maldives,-0.25847784
Mali,-0.256274589
Malta,-0.243484034
Mauritania,-0.197615465
Mauritius,-0.257561444
Mexico,0.262440917
Mongolia,0
Montenegro,-0.259257743
Morocco,-0.252258043
Mozambique,-0.25688877
Burma,0
Namibia,-0.259257743
Nepal,-0.258965285
Netherlands,1.41283437
,0.012086272
,-0.256014619
New Zealand,0.082480145
Nicaragua,-0.256528061
Niger,-0.213642655
Nigeria,0.042567179
Norway,0.132024049
Oman,-0.144664322
Pakistan,-0.202470417
Panama,-0.210708236
Papua New Guinea,-0.216164988
Paraguay,-0.208693139
Peru,-0.223652824
Philippines,-0.252433523
Poland,-0.230011056
Portugal,-0.182923875
Qatar,-0.254802506
Moldova,0
Romania,-0.259257743
Russia,0
Rwanda,-0.247003387
St. Kitts and Nevis,-0.259257743
St. Lucia,-0.233910616
St. Vincent and the Grenadines,-0.258672818
Samoa,-0.259199259
San Marino,0
São Tomé and Príncipe,-0.259257743
Saudi Arabia,-1.49787484
Senegal,-0.250551986
Serbia,0
Seychelles,-0.251936329
Sierra Leone,-0.243577916
Singapore,0.555779432
Slovakia,-0.259257743
Slovenia,-0.255880734
Solomon Islands,-0.259248003
South Africa,-0.731638044
South Sudan,0
Spain,1.102478177
Sri Lanka,-0.213437928
Sudan,-0.261850959
Suriname,-0.285969735
Swaziland,-0.205170862
Sweden,-0.149611888
Switzerland,-0.259257743
Syria,-0.259218757
Tajikistan,0
Thailand,-0.205425845
Macedonia,0
East Timor,0
Togo,-0.207988294
Tonga,0
Trinidad and Tobago,-0.090034418
Tunisia,-0.211283422
Turkey,-0.186141012
Turkmenistan,0
Tuvalu,0
Uganda,-0.257307973
Ukraine,-0.259257723
United Arab Emirates,-0.196299364
United Kingdom,6.047772813
Tanzania,-0.251439136
United States,8.222284182
Uruguay,-0.049168984
Uzbekistan,0
Vanuatu,-0.254490541
Venezuela,-0.178605113
Vietnam,-0.259316246
Yemen,-0.237244739
Zambia,-0.224970875
Zimbabwe,-0.259111519
Kosovo,0
