Country,Number of Visits to UK (Thousands),Visits by UK Residents (Thousands)
Canada,704,382
USA,2840,3011
North America,3544,3394
Austria,268,512
Belgium,1113,1664
Bulgaria,138,298
Czech Republic,325,346
Cyprus,111,821
Denmark,636,328
Finland,208,117
France,3787,8781
Germany,2967,2307
Greece,159,1824
Hungary,262,299
Irish Republic,2453,2827
Italy,1521,2630
Lithuania,171,196
Luxembourg,83,81
Malta,65,459
Netherlands,1735,1900
Norway,771,279
Poland,1222,1573
Portugal,292,1900
Romania,267,183
Russia,227,133
Slovakia,120,136
Spain,1716,11110
Sweden,777,338
Switzerland,832,865
Turkey,145,1419
Rest of Europe,423,892
Europe,22796,44217
- of which EU27,20553,40777
- of which EU25,20147,40295
- of which EU15,17714,36320
Egypt,50,407
Morocco,26,356
Tunisia,9,388
Other North Africa,14,106
South Africa,211,343
Nigeria,154,151
Other Africa,160,564
Israel,138,88
United Arab Emirates,256,580
Other Middle East,338,393
Hong Kong (China),135,184
Other China,215,334
India,339,794
Japan,243,94
Pakistan,73,416
Sri Lanka,20,110
Thailand,75,371
Other Asia,527,750
Australia,993,373
New Zealand,175,108
Barbados,6,96
Jamaica,7,184
Other Caribbean,45,481
Brazil,260,117
Mexico,84,299
Other Central & Sth. America,188,151
Rest of the World,2,206
Other Countries,4744,8926
Total World,31084,56538
