Result Number,Data Source,Result Row,Source Page URL,Country,International organization participation
2,World Factbook internation organizations,2,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Afghanistan,ADB; CICA; CP; ECO; EITI (candidate country); FAO; G-77; IAEA; IBRD; ICAO; ICC (NGOs); ICRM; IDA; IDB; IFAD; IFC; IFRCS; ILO; IMF; Interpol; IOC; IOM; IPU; ISO (correspondent); ITSO; ITU; MIGA; NAM; OIC; OPCW; OSCE (partner); SAARC; SACEP; SCO (observer); UN; UNCTAD; UNESCO; UNIDO; UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO
3,World Factbook internation organizations,3,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Albania,BSEC; CD; CE; CEI; EAPC; EBRD; EITI (candidate country); FAO; IAEA; IBRD; ICAO; ICC (national committees); ICRM; IDA; IDB; IFAD; IFC; IFRCS; ILO; IMF; IMO; Interpol; IOC; IOM; IPU; ISO (correspondent); ITU; ITUC (NGOs); MIGA; NATO; OAS (observer); OIC; OIF; OPCW; OSCE; PCA; SELEC; UN; UNCTAD; UNESCO; UNIDO; UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO
4,World Factbook internation organizations,4,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Algeria,ABEDA; AfDB; AFESD; AMF; AMU; AU; BIS; CAEU; CD; FAO; G-15; G-24; G-77; IAEA; IBRD; ICAO; ICC (national committees); ICRM; IDA; IDB; IFAD; IFC; IFRCS; IHO; ILO; IMF; IMO; IMSO; Interpol; IOC; IOM; IPU; ISO; ITSO; ITU; ITUC (NGOs); LAS; MIGA; MONUSCO; NAM; OAPEC; OAS (observer); OIC; OPCW; OPEC; OSCE (partner); UN; UNCTAD; UNESCO; UNHCR; UNIDO; UNITAR; UNWTO; UPU; WCO; WHO; WIPO; WMO; WTO (observer)
5,World Factbook internation organizations,5,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,American Samoa,AOSIS; Interpol (subbureau); IOC; PIF (observer); SPC; UPU
6,World Factbook internation organizations,6,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Andorra,CE; FAO; ICAO; ICC (NGOs); ICRM; IFRCS; Interpol; IOC; IPU; ITU; OIF; OPCW; OSCE; UN; UNCTAD; UNESCO; Union Latina; UNWTO; WCO; WHO; WIPO; WTO (observer)
7,World Factbook internation organizations,7,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Angola,ACP; AfDB; AU; CPLP; FAO; G-77; IAEA; IBRD; ICAO; ICRM; IDA; IFAD; IFC; IFRCS; ILO; IMF; IMO; Interpol; IOC; IOM; IPU; ISO (correspondent); ITSO; ITU; ITUC (NGOs); MIGA; NAM; OAS (observer); OPEC; SADC; UN; UNCTAD; UNESCO; UNIDO; Union Latina; UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO
8,World Factbook internation organizations,8,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Anguilla,Caricom (associate); CDB; Interpol (subbureau); OECS; UPU
9,World Factbook internation organizations,9,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Antigua and Barbuda,ACP; AOSIS; C; Caricom; CDB; CELAC; FAO; G-77; IBRD; ICAO; ICC (NGOs); ICRM; IDA; IFAD; IFC; IFRCS; ILO; IMF; IMO; IMSO; Interpol; IOC; IOM; ISO (subscriber); ITU; ITUC (NGOs); MIGA; NAM; OAS; OECS; OPANAL; OPCW; Petrocaribe; UN; UNCTAD; UNESCO; UPU; WFTU (NGOs); WHO; WIPO; WMO; WTO
10,World Factbook internation organizations,10,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Argentina,AfDB (nonregional member); Australia Group; BCIE; BIS; CAN (associate); CD; CELAC; FAO; FATF; G-15; G-20; G-24; G-77; IADB; IAEA; IBRD; ICAO; ICC (national committees); ICRM; IDA; IFAD; IFC; IFRCS; IHO; ILO; IMF; IMO; IMSO; Interpol; IOC; IOM; IPU; ISO; ITSO; ITU; ITUC (NGOs); LAES; LAIA; Mercosur; MIGA; MINURSO; MINUSTAH; NAM (observer); NSG; OAS; OPANAL; OPCW; Paris Club (associate); PCA; SICA (observer); UN; UN Security Council (temporary); UNASUR; UNCTAD; UNESCO; UNFICYP; UNHCR; UNIDO; Union Latina (observer); UNTSO; UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO; ZC
11,World Factbook internation organizations,11,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Armenia,ADB; BSEC; CD; CE; CIS; CSTO; EAEC (observer); EAPC; EBRD; FAO; GCTU; IAEA; IBRD; ICAO; ICC (NGOs); ICRM; IDA; IFAD; IFC; IFRCS; ILO; IMF; Interpol; IOC; IOM; IPU; ISO; ITSO; ITU; MIGA; NAM (observer); OAS (observer); OIF; OPCW; OSCE; PFP; UN; UNCTAD; UNESCO; UNIDO; UNIFIL; UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO
12,World Factbook internation organizations,12,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Aruba,Caricom (observer); FATF; ILO; IMF; Interpol; IOC; ITUC (NGOs); UNESCO (associate); UNWTO (associate); UPU
13,World Factbook internation organizations,13,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Australia,ADB; ANZUS; APEC; ARF; ASEAN (dialogue partner); Australia Group; BIS; C; CD; CP; EAS; EBRD; EITI (implementing country); FAO; FATF; G-20; IAEA; IBRD; ICAO; ICC (national committees); ICRM; IDA; IEA; IFC; IFRCS; IHO; ILO; IMF; IMO; IMSO; Interpol; IOC; IOM; IPU; ISO; ITSO; ITU; ITUC (NGOs); MIGA; NEA; NSG; OECD; OPCW; OSCE (partner); Paris Club; PCA; PIF; SAARC (observer); SICA (observer); Sparteca; SPC; UN; UN Security Council (temporary); UNCTAD; UNESCO; UNHCR; UNMISS; UNMIT; UNRWA; UNTSO; UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO; ZC
14,World Factbook internation organizations,14,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Austria,ADB (nonregional member); AfDB (nonregional member); Australia Group; BIS; BSEC (observer); CD; CE; CEI; CERN; EAPC; EBRD; ECB; EIB; EMU; ESA; EU; FAO; FATF; G-9; IADB; IAEA; IBRD; ICAO; ICC (national committees); ICRM; IDA; IEA; IFAD; IFC; IFRCS; IGAD (partners); ILO; IMF; IMO; Interpol; IOC; IOM; IPU; ISO; ITSO; ITU; ITUC (NGOs); MIGA; MINURSO; NEA; NSG; OAS (observer); OECD; OIF (observer); OPCW; OSCE; Paris Club; PCA; PFP; Schengen Convention; SELEC (observer); UN; UNCTAD; UNDOF; UNESCO; UNFICYP; UNHCR; UNIFIL; UNTSO; UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO; ZC
15,World Factbook internation organizations,15,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Azerbaijan,ADB; BSEC; CD; CE; CICA; CIS; EAPC; EBRD; ECO; EITI (compliant country); FAO; GCTU; GUAM; IAEA; IBRD; ICAO; ICC (NGOs); ICRM; IDA; IDB; IFAD; IFC; IFRCS; ILO; IMF; IMO; Interpol; IOC; IOM; IPU; ISO; ITSO; ITU; ITUC (NGOs); MIGA; NAM; OAS (observer); OIC; OPCW; OSCE; PFP; SELEC (observer); UN; UN Security Council (temporary); UNCTAD; UNESCO; UNHCR; UNIDO; UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO (observer)
16,World Factbook internation organizations,16,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,"Bahamas, The",ACP; AOSIS; C; Caricom; CDB; CELAC; FAO; G-77; IADB; IBRD; ICAO; ICRM; IDA; IFAD; IFC; IFRCS; ILO; IMF; IMO; IMSO; Interpol; IOC; IOM; ITSO; ITU; LAES; MIGA; NAM; OAS; OPANAL; OPCW; Petrocaribe; UN; UNCTAD; UNESCO; UNIDO; UNWTO; UPU; WCO; WHO; WIPO; WMO; WTO (observer)
17,World Factbook internation organizations,17,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Bahrain,ABEDA; AFESD; AMF; CAEU; CICA; FAO; G-77; GCC; IAEA; IBRD; ICAO; ICC (national committees); ICRM; IDA; IDB; IFC; IFRCS; IHO; ILO; IMF; IMO; IMSO; Interpol; IOC; IOM (observer); IPU; ISO; ITSO; ITU; ITUC (NGOs); LAS; MIGA; NAM; OAPEC; OIC; OPCW; PCA; UN; UNCTAD; UNESCO; UNIDO; UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO
18,World Factbook internation organizations,18,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Bangladesh,ADB; ARF; BIMSTEC; C; CD; CICA (observer); CP; D-8; FAO; G-77; IAEA; IBRD; ICAO; ICC (national committees); ICRM; IDA; IDB; IFAD; IFC; IFRCS; IHO; ILO; IMF; IMO; IMSO; Interpol; IOC; IOM; IPU; ISO; ITSO; ITU; ITUC (NGOs); MIGA; MINURSO; MONUSCO; NAM; OIC; OPCW; PCA; SAARC; SACEP; UN; UNAMID; UNCTAD; UNESCO; UNHCR; UNIDO; UNIFIL; UNISFA; UNMIL; UNMISS; UNMIT; UNOCI; UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO
19,World Factbook internation organizations,19,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Barbados,ACP; AOSIS; C; Caricom; CDB; CELAC; FAO; G-77; IADB; IBRD; ICAO; ICRM; IDA; IFAD; IFC; IFRCS; ILO; IMF; IMO; Interpol; IOC; ISO; ITSO; ITU; ITUC (NGOs); LAES; MIGA; NAM; OAS; OPANAL; OPCW; UN; UNCTAD; UNESCO; UNIDO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO
