"1","5","[Switzerland] Agreement on Consultation between the Swiss Confederation and the High Authority of the European Coal and Steel Community","Bilateral ",,"07-May-1956"
"2","1","Additional Articles to the Parcel Post Convention of June 28, 1889, between Great Britain and the Argentine Republic","Bilateral ","ARGENTINA","12-Nov-1895"
"3","2","Agreement concerning Collaboration between the International Labour Organisation and the European Coal and Steel Community","Bilateral ",,"16-Jul-1953"
"4","3","Loan Agreement between the European Coal and Steel Community and the United States of America","Bilateral ",,"23-Apr-1954"
"5","4","Agreement (with annexed Act of Pledge and annexes thereto) supplementing and amending the Loan Agreement between the European Coal and Steel Community and the United States of America signed at Washington on 23 April 1953","Bilateral ",,"16-Dec-1954"
"6","6","[Switzerland] Agreement between the Federal Council of the Swiss Confederation, of the one part, and the Governments of the Member States of the European Coal and Steel Community and the High Authority of the European Coal and Steel Community, of the other part, on the Introduction of Through International Railway Tariffs for the Carriage of Coal and Steel through Swiss Territory","Bilateral ","ECSC","28-Jul-1956"
"7","7","[Switzerland] Supplementary Protocol to the Agreement of 28 July 1956 between the Federal Council of the Swiss Confederation, of the one part, and the Governments of the Member States of the European Coal and Steel Community and the High Authority of the European Coal and Steel Community, of the other part, on the Introduction of Through International Railway Tariffs for the Carriage of Coal and S","Bilateral ","ECSC","10-Oct-1974"
"8","9","Supplementary Agreement to the Agreement of 26 July 1957 signed at Luxembourg between the Austrian Federal Republic, of the one part, and the Governments of the Member States of the European Coal and Steel Community and the High Authority of the European Coal and Steel Community , of the other part, Concerning the Establishment of International Railway Through-rates for Consignments of Coal and St","Bilateral ",,"29-Nov-1960"
"9","8","Supplementary Protocol to the Agreement of 26 July 1957 between the Austrian Federal Government, of the one part, and the Governments of the Member States of the European Coal and Steel Community and the High Authority of the European Coal and Steel Community of the other part, on the Introduction of Through International Railway Tariffs for the Carriage of Coal and Steel through the Territory of ","Bilateral ","AUSTRIA","10-Oct-1974"
"10","10","Agreement between the Austrian Federal Government, of the one part, and the Governments of the Member States of the European Coal and Steel Community and the High Authority of the European Coal and Steel Community , of the other part, on the Introduction of Through International Railway Tariffs for the Carriage of Coal and Steel through the Territory of the Republic of Austria","Bilateral ",,"26-Jul-1957"
"11","12","Agreement concerning Cooperation between the International Labour Organisation and the European Economic Community","Bilateral ",,"07-Jul-1958"
"12","11","Agreement between the European Atomic Energy Community (EURATOM) and the Government of the United States of America","Bilateral ",,"19-Jun-1958"
"13","13","Agreement for Co-operation between the Government of the United States of America and the European Atomic Energy Community (EURATOM) concerning Peaceful uses of Atomic Energy","Bilateral ",,"08-Nov-1958"
"14","15","Agreement between the Government of Canada and the European Atomic Energy Community (EURATOM) for Co-operation in the Peaceful Uses of Atomic Energy","Bilateral ",,"06-Oct-1959"
"15","17","Additional Agreement to the Agreement for Co-operation between the Government of the United States of America and the European Atomic Energy Community (EURATOM) concerning peaceful uses of Atomic Energy","Bilateral ","EAEC","11-Jun-1960"
"16","16","Technical Agreement between Atomic Energy of Canada Limited and the European Atomic Energy Community (EURATOM) concerning Peaceful Uses of Atomic Energy","Bilateral ",,"06-Oct-1959"
"17","14","Amendment to the Agreement for Co-operation of 8 November 1958 between the European Atomic Energy Community (EURATOM) and the Government of the United States of America","Bilateral ",,"22-May-1962"
"18","18","Agreement concerning Cooperation between the International Labour Organisation and the European Atomic Energy Community","Bilateral ",,"26-Jan-1961"
"19","19","Exchange of Letters concerning Co-operation between the EEC and the Central Commission for the Navigation of the Rhine","Bilateral ",,"06-Jun-1961"
"20","21","Agreement establishing an Association between the EEC and Greece with Exchange of Letters","Bilateral ","BELGIUM","09-Jul-1961"
"21","23","Agreement (with annexes) between the Netherlands and EURATOM regarding the Installation at Petten of an Establishment of the Joint Nuclear Research Centre","Bilateral ",,"25-Jul-1961"
"22","20","Agreement on Cooperation between the European Atomic Energy Community (EURATOM) and the Government of the United States of Brazil concerning the Peaceful Uses of Atomic Energy","Bilateral ",,"09-Jun-1961"
"23","22","Convention on Methods of administrative Co-operation implementing Articles 7 and 8 of the Agreement establishing an Association between the EEC and Greece with Exchange of Letters signed in Athens 9 July 1961","Bilateral ",,"26-Sep-1962"
"24","24","Exchange of Notes (with annex) regarding the Privileges and Immunities of EURATOM in the Territory of the Netherlands","Bilateral ",,"25-Jul-1961"
"25","27","Agreement between the United States of America and the European Economic Community pursuant to Article XXIV:6 of the GATT (with Annex)","Bilateral ",,"07-Mar-1962"
"26","26","Joint Declaration concerning Commercial Relations between the United States of America and the European Economic Community","Bilateral ",,"07-Mar-1962"
"27","30","Agreement between the United States of America and the European Economic Community with respect to Quality Wheat","Bilateral ",,"07-Mar-1962"
"28","25","Exchange of Letters between the President of the EURATOM Commission and the Director General of the FAO","Bilateral ",,"14-Dec-1961"
"29","28","Interim Agreement between the United States of America and the European Economic Community relating to the GATT (with Annexes)","Bilateral ",,"07-Mar-1962"
"30","29","Agreement between the United States of America and the European Economic Community and the Member States of that Community with respect to Corn, Sorghum, ordinary Wheat, Rice and Poultry","Bilateral ",,"07-Mar-1962"
"31","31","Agreement between Canada and the EEC and the Member States of that Community with respect to ordinary Wheat","Bilateral ",,"29-Mar-1962"
"32","32","Agreement with respect to quality Wheat","Bilateral ",,"29-Mar-1962"
"33","34","Commercial Agreement between the EEC and the Imperial Government of Iran with Exchange of Letters of 3 October 1967","Bilateral ",,"14-Oct-1963"
"34","35","Exchange of Letters between the United States Atomic Energy Commission and the European Atomic Energy Community (EURATOM)","Bilateral ",,"27-May-1964"
"35","36","Exchange of Letters between EURATOM and the International Bureau of Weights and Measures","Bilateral ",,"18-Nov-1965"
"36","33","Agreement for Co-operation between the European Atomic Energy Community (EURATOM) and the Government of the Argentine Republic concerning the Peaceful Uses of Nuclear Energy","Bilateral ",,"04-Sep-1962"
"37","37","Agreement between the European Economic Community and Denmark concerning cattle for processing (with related letter)","Bilateral ",,"30-Jun-1967"
"38","38","Letter Agreement with Denmark concerning import Arrangements in the European Economic Community for Tilsit (Havarti) Cheese","Bilateral ",,"30-Jun-1967"
"39","40","Exchange of Letters with Denmark concerning concessions from the European Economic Community for tunafish (with annexes)","Bilateral ",,"30-Jun-1967"
"40","39","Exchange of Letters with Denmark concerning concessions from the European Economic Community on herring (with annexes)","Bilateral ",,"30-Jun-1967"
"41","41","Agreement on Trade an Technical Co-operation between the European Economic Community and the Member States of the first part, and the Republic of Lebanon, of the second part","Bilateral ",,"21-May-1965"
"42","42","Arrangement between the European Economic Community and Switzerland with a view to the provisional maintenance of reduced customs duties on certain woven fabrics, in the form of an Exchange of Letters","Bilateral ",,"29-Oct-1968"
"43","43","Agreement establishing an Association between the EEC and the Tunisian Republic and documents appended thereto","Bilateral ",,"29-Mar-1969"
"44","44","Exchange of Notes amending Article 5 of Annex 1 and a correction of substance in List 5 of Annex 3 of the Agreement establishing an Association between the EEC and the Tunisian Republic and documents appended thereto signed at Tunis on 28 March 1969","Bilateral ",,"11-Sep-1970"
"45","46","Exchange of Notes of 30 September and 16 October 1969 and 15 December 1970 amending the Annexes to the Agreement establishing an Association between the EEC and the Kingdom of Morocco and documents related thereto signed on 31 March 1969","Bilateral ",,"15-Dec-1970"
"46","48","Agreement relating to European Coal and Steel Community products concluded with the African and Malagasy States associated with the European Economic Commission","Bilateral ",,"29-Jul-1969"
"47","45","Agreement establishing an Association between the EEC and the Kingdom of Morocco and documents appended thereto","Bilateral ",,"31-Mar-1969"
"48","47","Convention of Association btween the European Economic Community and the African Malagasy States associated with that Community","Bilateral ","BELGIUM","29-Jul-1969"
"49","49","Agreement between the European Economic Community and the Republic of India on Trade in Coconut Products, in the form of an Exchange of Letters","Bilateral ",,"01-Aug-1969"
"50","50","Arrangement between Switzerland and the European Economic Community on the Textile Finishing Trade","Bilateral ","EEC","01-Aug-1969"
"51","52","Agreement between the European Economic Community and the Republic of India on Trade in Jute Products, in the form of an Exchange of Letters","Bilateral ",,"10-Nov-1969"
"52","53","Agreement between the European Economic Community and the Republic of India on Trade in handicraft products in the form of an Exchange of Letters","Bilateral ",,"01-Aug-1969"
"53","54","Agreement between the European Economic Community and Pakistan on Trade in Handicraft products, in the form of an Exchange of Letters","Bilateral ",,"19-Dec-1969"
"54","51","Agreement establishing an Association between the Member States of the EEC, the EC, of the one part and the United Republic of Tanzania, the Republic of Uganda and the Republic of Kenya, of the one part and Annexed Documents","Bilateral ","BELGIUM","24-Sep-1969"
"55","55","Trade Agreement between the European Economic Community and the Socialist Federal Republic of Yugoslavia","Bilateral ",,"19-Mar-1970"
"56","56","Agreement between the EEC and Spain","Bilateral ",,"29-Jun-1970"
"57","58","Agreement between the EEC and the State of Israel","Bilateral ",,"29-Jun-1970"
"58","59","Protocol laying down certain provisions concerning the Agreement between the European Economic Community and the State of Israel following the Accession of new Member States to the European Economic Community [with Act of Notification and Minutes for the Entry into Force of the Protocol]","Bilateral ",,"30-Jan-1973"
"59","57","Protocol laying down certain provisions concerning the Agreement between the European Economic Community and Spain following the Accession of new Member States to the European Economic Community [with Act of Notification concerning the Protocol and Minutes concerning Notifications for the Completion of the Procedures for Entry into force of the Protocol]","Bilateral ",,"29-Jan-1973"
"60","60","Agreement between the European Economic Community and Austria on Cattle for manufacturing purposes and prolongation by an Exchange of Letters of 31/03/1971 for a period of 3 years from 01/04/1971","Bilateral ",,"22-Jul-1970"
